Date,Tmax,Tmin,Tavg,DewPoint,WetBulb,PrecipTotal
2007-05-01,83,50,67.0,51,56.0,0.0
2007-05-02,59,42,51.0,42,47.0,0.0
2007-05-03,66,46,56.0,40,48.0,0.0
2007-05-04,66,49,58.0,41,50.0,0.0
2007-05-05,66,53,60.0,38,49.0,0.0
2007-05-06,68,49,59.0,30,46.0,0.0
2007-05-07,83,47,65.0,41,54.0,0.0
2007-05-08,82,54,68.0,58,62.0,0.0
2007-05-09,77,61,69.0,59,63.0,0.13
2007-05-10,84,56,70.0,52,60.0,0.0
2007-05-11,70,51,61.0,42,51.0,0.0
2007-05-12,64,46,55.0,36,46.0,0.0
2007-05-13,69,43,56.0,33,46.0,0.0
2007-05-14,90,56,73.0,47,59.0,0.0
2007-05-15,80,57,69.0,56,61.0,0.38
2007-05-16,66,44,55.0,43,48.0,0.14
2007-05-17,62,43,53.0,32,43.0,0.0
2007-05-18,71,42,57.0,30,46.0,0.0
2007-05-19,80,56,68.0,39,53.0,0.0
2007-05-20,69,43,56.0,40,44.0,0.07
2007-05-21,80,44,62.0,50,56.0,0.0
2007-05-22,87,55,71.0,46,58.0,0.0
2007-05-23,89,60,75.0,49,61.0,0.0
2007-05-24,88,63,76.0,54,63.0,0.02
2007-05-25,70,56,63.0,44,53.0,0.0
2007-05-26,65,49,57.0,55,56.0,1.01
2007-05-27,75,57,66.0,47,56.0,0.04
2007-05-28,79,50,65.0,47,56.0,0.0
2007-05-29,88,60,74.0,58,65.0,0.0
2007-05-30,87,66,77.0,58,65.0,0.0
2007-05-31,78,65,72.0,61,65.0,0.01
2007-06-01,85,62,74.0,63,66.0,0.19
2007-06-02,81,65,73.0,63,67.0,0.04
2007-06-03,78,62,70.0,60,63.0,0.01
2007-06-04,71,58,65.0,58,60.0,0.39
2007-06-05,64,47,56.0,48,51.0,0.42
2007-06-06,71,44,58.0,48,55.0,0.01
2007-06-07,91,71,81.0,62,69.0,0.0
2007-06-08,81,57,69.0,53,61.0,0.0
2007-06-09,79,52,66.0,47,57.0,0.0
2007-06-10,81,55,68.0,51,59.0,0.0
2007-06-11,86,58,72.0,52,61.0,0.0
2007-06-12,83,62,73.0,50,60.0,0.0
2007-06-13,87,60,74.0,53,62.0,0.0
2007-06-14,89,64,77.0,55,64.0,0.0
2007-06-15,91,63,77.0,56,64.0,0.0
2007-06-16,93,66,80.0,60,67.0,0.0
2007-06-17,91,70,81.0,64,70.0,0.0
2007-06-18,89,69,79.0,65,70.0,0.28
2007-06-19,80,65,73.0,55,63.0,0.58
2007-06-20,84,61,73.0,52,61.0,0.0
2007-06-21,77,61,69.0,51,60.0,0.01
2007-06-22,76,61,69.0,50,58.0,0.0
2007-06-23,67,62,65.0,58,61.0,0.05
2007-06-24,77,63,70.0,62,65.0,0.0
2007-06-25,89,65,77.0,66,70.0,0.0
2007-06-26,92,70,81.0,69,72.0,0.16
2007-06-27,91,71,81.0,70,72.0,0.15
2007-06-28,74,58,66.0,55,60.0,0.0
2007-06-29,70,56,63.0,55,59.0,0.0
2007-06-30,79,54,67.0,46,56.0,0.0
2007-07-01,75,54,65.0,52,58.0,0.0
2007-07-02,79,53,66.0,50,58.0,0.0
2007-07-03,83,60,72.0,57,63.0,0.4
2007-07-04,86,67,77.0,65,69.0,0.16
2007-07-05,89,71,80.0,60,67.0,0.0
2007-07-06,86,66,76.0,57,64.0,0.0
2007-07-07,90,64,77.0,63,69.0,0.0
2007-07-08,94,75,85.0,67,72.0,0.0
2007-07-09,94,70,82.0,66,70.0,0.3
2007-07-10,89,69,79.0,67,70.0,0.43
2007-07-11,77,62,70.0,51,59.0,0.0
2007-07-12,80,61,71.0,51,59.0,0.0
2007-07-13,78,58,68.0,52,58.0,0.0
2007-07-14,84,61,73.0,55,62.0,0.0
2007-07-15,82,60,71.0,53,61.0,0.0
2007-07-16,82,65,74.0,60,65.0,0.39
2007-07-17,83,68,76.0,66,69.0,0.11
2007-07-18,85,69,77.0,68,71.0,1.55
2007-07-19,83,63,73.0,63,66.0,0.16
2007-07-20,75,58,67.0,53,59.0,0.0
2007-07-21,74,58,66.0,52,58.0,0.0
2007-07-22,81,58,70.0,55,61.0,0.0
2007-07-23,83,60,72.0,55,63.0,0.0
2007-07-24,82,65,74.0,58,64.0,0.0
2007-07-25,85,71,78.0,61,67.0,0.0
2007-07-26,83,66,75.0,65,68.0,0.19
2007-07-27,83,70,77.0,68,70.0,0.17
2007-07-28,80,66,73.0,65,68.0,0.0
2007-07-29,85,63,74.0,57,64.0,0.0
2007-07-30,89,62,76.0,55,64.0,0.0
2007-07-31,91,68,80.0,61,68.0,0.0
2007-08-01,92,69,81.0,62,69.0,0.0
2007-08-02,91,70,81.0,66,71.0,0.0
2007-08-03,90,69,80.0,56,66.0,0.0
2007-08-04,81,64,73.0,58,64.0,0.03
2007-08-05,88,67,78.0,71,73.0,1.43
2007-08-06,88,74,81.0,72,74.0,0.26
2007-08-07,91,72,82.0,73,76.0,1.31
2007-08-08,87,73,80.0,71,73.0,0.06
2007-08-09,84,72,78.0,71,73.0,0.05
2007-08-10,86,70,78.0,68,72.0,0.0
2007-08-11,89,67,78.0,65,70.0,0.0
2007-08-12,88,67,78.0,67,71.0,0.29
2007-08-13,81,65,73.0,57,64.0,0.0
2007-08-14,84,65,75.0,67,70.0,0.41
2007-08-15,80,71,76.0,67,70.0,0.23
2007-08-16,77,65,71.0,64,67.0,0.0
2007-08-17,79,60,70.0,54,61.0,0.0
2007-08-18,68,59,64.0,54,58.0,0.09
2007-08-19,68,62,65.0,62,64.0,1.33
2007-08-20,78,68,73.0,68,69.0,0.91
2007-08-21,87,69,78.0,70,72.0,0.0
2007-08-22,90,69,80.0,71,73.0,0.37
2007-08-23,87,69,78.0,69,71.0,2.35
2007-08-24,80,69,75.0,67,69.0,0.24
2007-08-25,79,64,72.0,63,66.0,0.34
2007-08-26,79,60,70.0,55,61.0,0.0
2007-08-27,79,60,70.0,60,64.0,0.0
2007-08-28,91,67,79.0,66,70.0,0.0
2007-08-29,85,68,77.0,65,69.0,0.0
2007-08-30,75,57,66.0,54,60.0,0.0
2007-08-31,77,57,67.0,52,59.0,0.0
2007-09-01,81,57,69.0,55,61.0,0.0
2007-09-02,85,61,73.0,57,63.0,0.0
2007-09-03,88,66,77.0,61,67.0,0.0
2007-09-04,89,63,76.0,60,66.0,0.0
2007-09-05,90,66,78.0,63,69.0,0.0
2007-09-06,82,73,78.0,67,70.0,0.18
2007-09-07,84,70,77.0,68,70.0,0.19
2007-09-08,78,64,71.0,57,63.0,0.0
2007-09-09,80,63,72.0,59,63.0,0.0
2007-09-10,74,54,64.0,58,60.0,0.36
2007-09-11,71,50,61.0,44,52.0,0.0
2007-09-12,67,46,57.0,42,49.0,0.0
2007-09-13,78,50,64.0,45,54.0,0.0
2007-09-14,66,45,56.0,39,48.0,0.0
2007-09-15,61,39,50.0,33,43.0,0.0
2007-09-16,71,44,58.0,40,49.0,0.0
2007-09-17,80,52,66.0,49,57.0,0.0
2007-09-18,88,63,76.0,58,65.0,0.0
2007-09-19,84,65,75.0,59,65.0,0.0
2007-09-20,78,60,69.0,59,63.0,0.0
2007-09-21,88,64,76.0,59,66.0,0.0
2007-09-22,74,51,63.0,43,53.0,0.0
2007-09-23,84,50,67.0,50,58.0,0.0
2007-09-24,90,68,79.0,63,68.0,0.0
2007-09-25,85,63,74.0,65,69.0,0.27
2007-09-26,69,53,61.0,50,55.0,0.09
2007-09-27,75,49,62.0,49,55.0,0.0
2007-09-28,73,53,63.0,46,53.0,0.0
2007-09-29,80,50,65.0,46,55.0,0.0
2007-09-30,83,59,71.0,49,59.0,0.14
2007-10-01,69,59,64.0,59,61.0,0.29
2007-10-02,78,57,68.0,59,63.0,0.09
2007-10-03,74,55,65.0,48,56.0,0.0
2007-10-04,82,51,67.0,56,61.0,0.0
2007-10-05,84,62,73.0,65,68.0,0.0
2007-10-06,87,69,78.0,67,70.0,0.0
2007-10-07,87,67,77.0,66,70.0,0.0
2007-10-08,87,60,74.0,61,66.0,0.0
2007-10-09,76,49,63.0,44,53.0,0.0
2007-10-10,54,47,51.0,38,44.0,0.0
2007-10-11,54,46,50.0,39,45.0,0.0
2007-10-12,56,41,49.0,35,43.0,0.0
2007-10-13,59,40,50.0,41,47.0,0.0
2007-10-14,61,53,57.0,49,53.0,0.15
2007-10-15,74,51,63.0,52,57.0,0.07
2007-10-16,67,52,60.0,54,57.0,0.24
2007-10-17,72,47,60.0,53,57.0,0.04
2007-10-18,78,59,69.0,56,61.0,0.3
2007-10-19,60,52,56.0,48,52.0,0.01
2007-10-20,73,47,60.0,43,52.0,0.0
2007-10-21,80,60,70.0,47,57.0,0.0
2007-10-22,67,46,57.0,47,50.0,0.16
2007-10-23,58,43,51.0,36,44.0,0.0
2007-10-24,55,43,49.0,35,42.0,0.0
2007-10-25,55,45,50.0,39,46.0,0.0
2007-10-26,65,53,59.0,48,52.0,0.33
2007-10-27,55,37,46.0,38,45.0,0.01
2007-10-28,56,34,45.0,30,39.0,0.0
2007-10-29,61,39,50.0,32,42.0,0.0
2007-10-30,66,41,54.0,38,46.0,0.0
2007-10-31,62,41,52.0,37,46.0,0.0
2008-05-01,74,48,61.0,51,56.0,0.0
2008-05-02,74,51,63.0,55,58.0,1.28
2008-05-03,56,43,50.0,41,46.0,0.0
2008-05-04,65,38,52.0,34,45.0,0.0
2008-05-05,75,50,63.0,38,50.0,0.0
2008-05-06,81,46,64.0,44,55.0,0.0
2008-05-07,70,49,60.0,52,56.0,0.76
2008-05-08,59,45,52.0,35,44.0,0.0
2008-05-09,58,41,50.0,34,43.0,0.0
2008-05-10,61,38,50.0,37,45.0,0.0
2008-05-11,58,46,52.0,43,47.0,0.95
2008-05-12,56,40,48.0,38,43.0,0.0
2008-05-13,73,40,57.0,45,51.0,0.08
2008-05-14,64,45,55.0,48,52.0,0.02
2008-05-15,57,43,50.0,37,45.0,0.0
2008-05-16,73,40,57.0,41,50.0,0.0
2008-05-17,73,52,63.0,41,52.0,0.12
2008-05-18,55,44,50.0,39,45.0,0.0
2008-05-19,60,40,50.0,33,43.0,0.0
2008-05-20,66,47,57.0,37,47.0,0.0
2008-05-21,66,41,54.0,36,46.0,0.0
2008-05-22,59,45,52.0,38,45.0,0.0
2008-05-23,57,46,52.0,39,45.0,0.0
2008-05-24,67,40,54.0,40,48.0,0.0
2008-05-25,78,44,61.0,50,57.0,0.0
2008-05-26,81,47,64.0,60,64.0,0.48
2008-05-27,50,42,46.0,35,42.0,0.0
2008-05-28,62,43,53.0,32,43.0,0.0
2008-05-29,67,42,55.0,37,47.0,0.01
2008-05-30,77,55,66.0,59,62.0,0.4
2008-05-31,79,59,69.0,56,62.0,0.0
2008-06-01,74,53,64.0,47,55.0,0.0
2008-06-02,86,56,71.0,52,60.0,0.0
2008-06-03,69,55,62.0,55,57.0,0.52
2008-06-04,78,54,66.0,59,61.0,0.0
2008-06-05,87,60,74.0,68,71.0,0.64
2008-06-06,87,73,80.0,68,72.0,0.0
2008-06-07,85,69,77.0,71,73.0,0.11
2008-06-08,85,64,75.0,68,70.0,1.24
2008-06-09,74,65,70.0,64,66.0,0.14
2008-06-10,79,59,69.0,56,61.0,0.0
2008-06-11,86,61,74.0,56,64.0,0.0
2008-06-12,91,73,82.0,63,69.0,0.0
2008-06-13,82,65,74.0,62,66.0,0.39
2008-06-14,84,59,72.0,53,61.0,0.0
2008-06-15,81,61,71.0,60,64.0,0.18
2008-06-16,72,59,66.0,49,57.0,0.0
2008-06-17,76,55,66.0,46,55.0,0.0
2008-06-18,77,56,67.0,48,56.0,0.0
2008-06-19,81,52,67.0,46,56.0,0.0
2008-06-20,82,58,70.0,53,60.0,0.09
2008-06-21,82,61,72.0,52,61.0,0.01
2008-06-22,82,57,70.0,52,59.0,0.16
2008-06-23,77,56,67.0,54,59.0,0.0
2008-06-24,82,55,69.0,53,60.0,0.0
2008-06-25,79,66,73.0,64,67.0,0.08
2008-06-26,86,70,78.0,66,70.0,0.0
2008-06-27,84,66,75.0,67,70.0,0.0
2008-06-28,83,64,74.0,55,63.0,0.04
2008-06-29,75,60,68.0,58,61.0,0.58
2008-06-30,80,59,70.0,50,58.0,0.0
2008-07-01,83,58,71.0,51,60.0,0.0
2008-07-02,87,63,75.0,62,66.0,0.2
2008-07-03,71,55,63.0,51,57.0,0.0
2008-07-04,76,52,64.0,50,57.0,0.0
2008-07-05,80,54,67.0,52,59.0,0.0
2008-07-06,87,59,73.0,57,65.0,0.0
2008-07-07,87,71,79.0,67,71.0,0.03
2008-07-08,85,70,78.0,67,71.0,0.03
2008-07-09,85,67,76.0,55,63.0,0.0
2008-07-10,82,64,73.0,63,66.0,0.72
2008-07-11,88,64,76.0,65,69.0,0.34
2008-07-12,81,65,73.0,63,66.0,0.73
2008-07-13,79,62,71.0,54,61.0,0.0
2008-07-14,84,62,73.0,54,62.0,0.0
2008-07-15,90,61,76.0,62,68.0,0.0
2008-07-16,90,71,81.0,66,70.0,0.0
2008-07-17,89,71,80.0,66,71.0,0.0
2008-07-18,86,74,80.0,68,72.0,0.04
2008-07-19,78,67,73.0,68,69.0,1.61
2008-07-20,86,68,77.0,68,71.0,0.74
2008-07-21,83,68,76.0,65,68.0,0.13
2008-07-22,77,63,70.0,59,64.0,0.0
2008-07-23,81,60,71.0,52,60.0,0.0
2008-07-24,82,59,71.0,53,61.0,0.0
2008-07-25,82,61,72.0,63,67.0,0.0
2008-07-26,84,65,75.0,58,65.0,0.0
2008-07-27,83,62,73.0,58,64.0,0.0
2008-07-28,85,66,76.0,63,67.0,0.0
2008-07-29,88,65,77.0,67,70.0,0.05
2008-07-30,89,72,81.0,65,70.0,0.0
2008-07-31,89,72,81.0,67,70.0,0.14
2008-08-01,89,68,79.0,68,72.0,1.05
2008-08-02,81,65,73.0,59,65.0,0.0
2008-08-03,84,61,73.0,61,66.0,0.0
2008-08-04,87,70,79.0,68,70.0,2.43
2008-08-05,87,69,78.0,67,71.0,0.0
2008-08-06,84,67,76.0,60,66.0,0.0
2008-08-07,82,64,73.0,56,63.0,0.0
2008-08-08,79,63,71.0,54,61.0,0.0
2008-08-09,80,62,71.0,58,62.0,0.0
2008-08-10,74,58,66.0,52,58.0,0.0
2008-08-11,77,59,68.0,57,61.0,0.0
2008-08-12,77,61,69.0,57,62.0,0.0
2008-08-13,79,66,73.0,59,63.0,0.06
2008-08-14,79,63,71.0,60,64.0,0.0
2008-08-15,78,61,70.0,54,61.0,0.0
2008-08-16,83,58,71.0,53,61.0,0.0
2008-08-17,84,63,74.0,60,65.0,0.0
2008-08-18,85,65,75.0,57,64.0,0.0
2008-08-19,82,63,73.0,64,67.0,0.0
2008-08-20,81,65,73.0,60,65.0,0.0
2008-08-21,82,68,75.0,61,66.0,0.0
2008-08-22,83,72,78.0,68,71.0,0.09
2008-08-23,87,68,78.0,66,70.0,0.0
2008-08-24,77,63,70.0,57,62.0,0.0
2008-08-25,74,64,69.0,54,60.0,0.0
2008-08-26,76,61,69.0,54,60.0,0.0
2008-08-27,83,61,72.0,56,63.0,0.0
2008-08-28,80,63,72.0,64,67.0,0.06
2008-08-29,85,64,75.0,58,65.0,0.04
2008-08-30,87,56,72.0,55,62.0,0.0
2008-08-31,90,60,75.0,56,64.0,0.0
2008-09-01,90,62,76.0,54,63.0,0.0
2008-09-02,94,65,80.0,61,68.0,0.0
2008-09-03,77,66,72.0,60,64.0,0.02
2008-09-04,67,61,64.0,61,62.0,2.9
2008-09-05,70,57,64.0,56,59.0,0.0
2008-09-06,74,53,64.0,54,58.0,0.01
2008-09-07,74,55,65.0,51,57.0,0.0
2008-09-08,67,52,60.0,52,55.0,1.23
2008-09-09,69,49,59.0,45,52.0,0.0
2008-09-10,72,48,60.0,48,54.0,0.0
2008-09-11,79,55,67.0,57,61.0,0.0
2008-09-12,73,69,71.0,67,68.0,0.37
2008-09-13,75,68,72.0,69,70.0,6.64
2008-09-14,72,58,65.0,61,62.0,1.44
2008-09-15,63,53,58.0,51,55.0,0.0
2008-09-16,71,49,60.0,50,55.0,0.0
2008-09-17,82,57,70.0,56,60.0,0.0
2008-09-18,74,56,65.0,55,60.0,0.0
2008-09-19,77,54,66.0,54,59.0,0.0
2008-09-20,82,56,69.0,57,61.0,0.0
2008-09-21,80,58,69.0,61,64.0,0.0
2008-09-22,81,61,71.0,59,64.0,0.0
2008-09-23,82,59,71.0,57,62.0,0.0
2008-09-24,82,57,70.0,59,63.0,0.2
2008-09-25,77,63,70.0,61,64.0,0.0
2008-09-26,79,59,69.0,55,60.0,0.0
2008-09-27,81,53,67.0,54,60.0,0.0
2008-09-28,68,57,63.0,57,60.0,0.0
2008-09-29,64,54,59.0,55,57.0,0.82
2008-09-30,59,48,54.0,44,49.0,0.0
2008-10-01,61,46,54.0,40,47.0,0.0
2008-10-02,61,42,52.0,40,47.0,0.0
2008-10-03,60,44,52.0,42,47.0,0.01
2008-10-04,61,38,50.0,38,45.0,0.0
2008-10-05,61,41,51.0,43,48.0,0.06
2008-10-06,69,54,62.0,47,54.0,0.0
2008-10-07,63,56,60.0,52,56.0,0.8
2008-10-08,64,50,57.0,51,54.0,0.19
2008-10-09,69,47,58.0,38,49.0,0.0
2008-10-10,72,42,57.0,42,50.0,0.0
2008-10-11,79,51,65.0,50,57.0,0.0
2008-10-12,84,57,71.0,56,61.0,0.0
2008-10-13,77,61,69.0,58,63.0,0.0
2008-10-14,69,53,61.0,43,51.0,0.0
2008-10-15,63,47,55.0,50,53.0,0.3
2008-10-16,59,43,51.0,38,44.0,0.0
2008-10-17,57,43,50.0,39,44.0,0.0
2008-10-18,60,43,52.0,40,45.0,0.05
2008-10-19,62,40,51.0,37,45.0,0.0
2008-10-20,55,43,49.0,42,46.0,0.18
2008-10-21,55,38,47.0,35,42.0,0.0
2008-10-22,52,35,44.0,30,40.0,0.0
2008-10-23,58,41,50.0,36,44.0,0.16
2008-10-24,54,44,49.0,44,47.0,0.32
2008-10-25,53,43,48.0,40,44.0,0.0
2008-10-26,56,37,47.0,32,41.0,0.0
2008-10-27,47,33,40.0,27,35.0,0.0
2008-10-28,45,31,38.0,23,33.0,0.0
2008-10-29,51,32,42.0,24,34.0,0.0
2008-10-30,62,31,47.0,32,41.0,0.0
2008-10-31,70,48,59.0,46,51.0,0.0
2009-05-01,60,46,53.0,40,47.0,0.02
2009-05-02,66,44,55.0,33,45.0,0.0
2009-05-03,70,43,57.0,34,47.0,0.0
2009-05-04,70,43,57.0,34,47.0,0.0
2009-05-05,71,49,60.0,40,50.0,0.0
2009-05-06,75,51,63.0,51,55.0,0.67
2009-05-07,77,56,67.0,52,57.0,0.19
2009-05-08,77,53,65.0,53,58.0,0.02
2009-05-09,63,46,55.0,44,48.0,0.0
2009-05-10,67,40,54.0,39,46.0,0.0
2009-05-11,61,39,50.0,35,44.0,0.0
2009-05-12,71,39,55.0,34,47.0,0.0
2009-05-13,70,53,62.0,56,58.0,0.55
2009-05-14,68,53,61.0,44,52.0,0.0
2009-05-15,61,52,57.0,51,54.0,0.39
2009-05-16,62,45,54.0,40,49.0,0.0
2009-05-17,63,39,51.0,27,42.0,0.0
2009-05-18,66,40,53.0,33,45.0,0.0
2009-05-19,80,52,66.0,44,55.0,0.0
2009-05-20,84,61,73.0,44,57.0,0.0
2009-05-21,84,60,72.0,49,59.0,0.0
2009-05-22,69,53,61.0,46,53.0,0.0
2009-05-23,80,50,65.0,50,57.0,0.0
2009-05-24,71,55,63.0,46,53.0,0.0
2009-05-25,67,54,61.0,43,51.0,0.04
2009-05-26,74,53,64.0,51,55.0,1.73
2009-05-27,73,55,64.0,58,60.0,0.02
2009-05-28,62,54,58.0,51,54.0,0.0
2009-05-29,74,50,62.0,49,55.0,0.0
2009-05-30,79,50,65.0,46,54.0,0.0
2009-05-31,73,45,59.0,41,50.0,0.0
2009-06-01,78,51,65.0,53,57.0,0.44
2009-06-02,60,48,54.0,46,50.0,0.12
2009-06-03,61,43,52.0,39,46.0,0.0
2009-06-04,68,42,55.0,37,48.0,0.0
2009-06-05,79,44,62.0,44,54.0,0.0
2009-06-06,63,51,57.0,45,50.0,0.02
2009-06-07,73,52,63.0,53,57.0,0.04
2009-06-08,80,52,66.0,60,63.0,0.45
2009-06-09,67,55,61.0,53,56.0,0.0
2009-06-10,67,54,61.0,49,53.0,0.01
2009-06-11,64,53,59.0,51,54.0,0.01
2009-06-12,74,49,62.0,49,55.0,0.0
2009-06-13,68,54,61.0,51,55.0,0.33
2009-06-14,77,51,64.0,48,57.0,0.0
2009-06-15,81,53,67.0,49,58.0,0.0
2009-06-16,71,59,65.0,55,60.0,1.23
2009-06-17,71,61,66.0,59,62.0,0.0
2009-06-18,80,61,71.0,63,67.0,0.12
2009-06-19,86,65,76.0,67,69.0,3.97
2009-06-20,87,68,78.0,65,70.0,0.0
2009-06-21,84,70,77.0,63,68.0,0.01
2009-06-22,89,68,79.0,67,71.0,0.09
2009-06-23,94,71,83.0,69,73.0,0.0
2009-06-24,94,75,85.0,68,73.0,0.04
2009-06-25,94,75,85.0,69,73.0,0.0
2009-06-26,86,69,78.0,60,73.0,0.0
2009-06-27,89,62,76.0,61,67.0,0.3
2009-06-28,83,66,75.0,53,62.0,0.0
2009-06-29,77,63,70.0,54,61.0,0.0
2009-06-30,66,59,63.0,53,57.0,0.0
2009-07-01,65,57,61.0,52,56.0,0.0
2009-07-02,73,59,66.0,54,60.0,0.0
2009-07-03,79,63,71.0,56,62.0,0.0
2009-07-04,69,59,64.0,58,61.0,0.2
2009-07-05,81,57,69.0,58,63.0,0.05
2009-07-06,86,60,73.0,54,62.0,0.0
2009-07-07,77,59,68.0,54,60.0,0.0
2009-07-08,65,61,63.0,56,59.0,0.06
2009-07-09,79,59,69.0,57,63.0,0.0
2009-07-10,82,63,73.0,64,67.0,0.08
2009-07-11,85,63,74.0,59,65.0,0.25
2009-07-12,82,58,70.0,51,60.0,0.0
2009-07-13,79,61,70.0,46,57.0,0.0
2009-07-14,80,55,68.0,51,59.0,0.0
2009-07-15,85,65,75.0,62,67.0,0.68
2009-07-16,80,64,72.0,56,62.0,0.0
2009-07-17,70,57,64.0,51,56.0,0.0
2009-07-18,72,57,65.0,52,57.0,0.0
2009-07-19,71,57,64.0,52,58.0,0.0
2009-07-20,76,55,66.0,55,60.0,0.0
2009-07-21,80,58,69.0,57,62.0,0.04
2009-07-22,78,63,71.0,61,64.0,0.0
2009-07-23,82,62,72.0,58,63.0,0.0
2009-07-24,83,61,72.0,59,64.0,0.14
2009-07-25,81,66,74.0,58,64.0,0.0
2009-07-26,82,63,73.0,58,64.0,0.0
2009-07-27,84,64,74.0,61,66.0,0.02
2009-07-28,84,66,75.0,60,66.0,0.01
2009-07-29,81,62,72.0,51,59.0,0.0
2009-07-30,79,59,69.0,57,62.0,0.0
2009-07-31,81,58,70.0,54,61.0,0.0
2009-08-01,75,61,68.0,59,62.0,0.0
2009-08-02,78,57,68.0,51,59.0,0.0
2009-08-03,84,67,76.0,60,66.0,0.07
2009-08-04,85,67,76.0,61,67.0,0.0
2009-08-05,79,61,70.0,54,61.0,0.0
2009-08-06,82,60,71.0,51,60.0,0.0
2009-08-07,74,64,69.0,59,63.0,0.33
2009-08-08,89,68,79.0,70,73.0,0.02
2009-08-09,91,77,84.0,71,74.0,0.18
2009-08-10,85,70,78.0,65,69.0,0.0
2009-08-11,82,62,72.0,61,66.0,0.0
2009-08-12,83,60,72.0,55,62.0,0.0
2009-08-13,86,60,73.0,55,63.0,0.0
2009-08-14,88,63,76.0,59,66.0,0.0
2009-08-15,89,67,78.0,61,67.0,0.0
2009-08-16,88,70,79.0,67,70.0,0.63
2009-08-17,83,70,77.0,68,70.0,0.33
2009-08-18,83,65,74.0,59,65.0,0.0
2009-08-19,83,59,71.0,60,65.0,0.35
2009-08-20,78,64,71.0,61,65.0,0.07
2009-08-21,73,59,66.0,58,61.0,0.16
2009-08-22,68,57,63.0,52,56.0,0.0
2009-08-23,74,56,65.0,53,58.0,0.0
2009-08-24,79,54,67.0,56,61.0,0.0
2009-08-25,83,59,71.0,61,65.0,0.0
2009-08-26,73,62,68.0,62,64.0,0.93
2009-08-27,67,61,64.0,60,61.0,0.95
2009-08-28,68,60,64.0,61,62.0,0.22
2009-08-29,69,56,63.0,51,56.0,0.02
